name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,5061,4988643277,,,0,,,,-122.3059574,47.6528237,,,
,5062,4996104621,,,0,,,,-122.3055276,47.6630717,,,
,5063,5012478564,,,0,,,,-122.289371,47.6592178,,,
,5064,5012478565,,,0,,,,-122.2893734,47.6592301,,,
,5065,5012478566,,,0,,,,-122.2893488,47.6598083,,,
,5066,5012478567,,,0,,,,-122.2893372,47.6598005,,,
,5067,5012478568,,,0,,,,-122.2893492,47.6597995,,,
,5068,5012478569,,,0,,,,-122.2900013,47.6598084,,,
,5069,5012478570,,,0,,,,-122.2900902,47.6598075,,,
,5070,5012478597,,,0,,,,-122.2901076,47.6579629,,,
,5071,5012496478,,,0,,,,-122.3024025,47.6526186,,,
,5072,5033374754,crossing,,0,,,,-122.2979824,47.6619164,,,
,5073,5033374755,crossing,,0,,,,-122.3000791,47.6613803,,,
,5074,5033374763,,,0,,,,-122.2997671,47.6618086,,,
,5075,5033374786,stop,,0,,,,-122.2978921,47.6619645,,,
,5076,5033374788,,,0,,,,-122.2977715,47.6614697,,,
,5077,5050047019,,,0,,,,-122.3160438,47.6606856,,,
,5078,5050047020,,,0,,,,-122.316045,47.6606297,,,
,5079,5087668403,,,0,,,,-122.3179348,47.656807,,,
,5080,5087695136,,,0,,,,-122.3090475,47.65146,,,
,5081,5087695148,,,0,,,,-122.3086795,47.651526,,,
,5082,5087695158,,,0,,,,-122.3086798,47.6514674,,,
,5083,5087718274,,,0,,,,-122.3042437,47.6530365,,,
,5084,5087718276,,,0,,,,-122.3042166,47.6530184,,,
,5085,5087718277,crossing,,0,,,,-122.3041414,47.6529951,,,
,5086,5087718282,,,0,,,,-122.3045186,47.6531565,,,
,5087,5087718285,,,0,,,,-122.3043853,47.6531221,,,
,5088,5087718288,,,0,,,,-122.3042078,47.6526583,,,
,5089,5087718304,,,0,,,,-122.3046525,47.6531354,,,
,5090,5102338626,,,0,,,,-122.30557,47.6506194,,,
,5091,5113845431,,,0,,,,-122.3208364,47.6572226,,,
,5092,5113845432,,,0,,,,-122.3209684,47.6572253,,,
,5093,5113845434,,,0,,,,-122.3213013,47.657167,,,
,5094,5113845435,,,0,,,,-122.3212665,47.6589624,,,
,5095,5134309934,,,0,,,,-122.3058371,47.649778,,,
,5096,5134309938,crossing,,0,,,,-122.3060683,47.6497869,,,
,5097,5134309939,crossing,,0,,,,-122.3061042,47.6497551,,,
