name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,591,7978639,1750,324,,28.8023674869555,1,15,,service,7,"LINESTRING (-122.3137579 47.6595349, -122.3137557 47.6596408, -122.313754 47.6597223, -122.3137537 47.659736, -122.3137485 47.6597938)",bike,1
,592,7978639,324,1750,,28.8023674869555,1,15,,service,7,"LINESTRING (-122.3137485 47.6597938, -122.3137537 47.659736, -122.313754 47.6597223, -122.3137557 47.6596408, -122.3137579 47.6595349)",bike,1
,593,7978641,331,330,,165.974833886072,1,15,,service,7,"LINESTRING (-122.3149766 47.6568571, -122.3149755 47.6569272, -122.31497 47.6582805, -122.3149635 47.6583496)",bike,1
,594,7978641,330,331,,165.974833886072,1,15,,service,7,"LINESTRING (-122.3149635 47.6583496, -122.31497 47.6582805, -122.3149755 47.6569272, -122.3149766 47.6568571)",bike,1
,595,7978641,330,1759,,28.337480181918657,1,15,,service,7,"LINESTRING (-122.3149635 47.6583496, -122.3149577 47.6584099, -122.314956 47.6584925, -122.3149537 47.6586043)",bike,1
,596,7978641,1759,330,,28.337480181918657,1,15,,service,7,"LINESTRING (-122.3149537 47.6586043, -122.314956 47.6584925, -122.3149577 47.6584099, -122.3149635 47.6583496)",bike,1
,597,7978641,1759,1645,,71.26056686869954,1,15,,service,7,"LINESTRING (-122.3149537 47.6586043, -122.3149405 47.6592451)",bike,1
,598,7978641,1645,1759,,71.26056686869954,1,15,,service,7,"LINESTRING (-122.3149405 47.6592451, -122.3149537 47.6586043)",bike,1
,599,7978641,1645,329,,62.58473553478899,1,15,,service,7,"LINESTRING (-122.3149405 47.6592451, -122.3149178 47.6597535, -122.3149164 47.6598077)",bike,1
,600,7978641,329,1645,,62.58473553478899,1,15,,service,7,"LINESTRING (-122.3149164 47.6598077, -122.3149178 47.6597535, -122.3149405 47.6592451)",bike,1
,601,7978643,1418,335,,9.43218746818751,1,15,,service,7,"LINESTRING (-122.3160326 47.6612121, -122.3160186 47.6612964)",bike,1
,602,7978643,335,1418,,9.43218746818751,1,15,,service,7,"LINESTRING (-122.3160186 47.6612964, -122.3160326 47.6612121)",bike,1
,603,7978644,340,1519,,79.17075307776943,1,15,,service,7,"LINESTRING (-122.316927 47.6612987, -122.3169264 47.6613831, -122.3169221 47.6619947, -122.3169285 47.6620101)",bike,1
,604,7978644,1519,340,,79.17075307776943,1,15,,service,7,"LINESTRING (-122.3169285 47.6620101, -122.3169221 47.6619947, -122.3169264 47.6613831, -122.316927 47.6612987)",bike,1
,605,7978644,1519,339,,123.69211854924102,1,15,,service,7,"LINESTRING (-122.3169285 47.6620101, -122.31701 47.6622078, -122.3169419 47.6626429, -122.316917 47.6630491, -122.3169131 47.6631122)",bike,1
,606,7978644,339,1519,,123.692118549241,1,15,,service,7,"LINESTRING (-122.3169131 47.6631122, -122.316917 47.6630491, -122.3169419 47.6626429, -122.31701 47.6622078, -122.3169285 47.6620101)",bike,1
,607,7978644,339,1821,,32.00228655107899,1,15,,service,7,"LINESTRING (-122.3169131 47.6631122, -122.3169125 47.6631912, -122.316911 47.6634)",bike,1
,608,7978644,1821,339,,32.00228655107899,1,15,,service,7,"LINESTRING (-122.316911 47.6634, -122.3169125 47.6631912, -122.3169131 47.6631122)",bike,1
,609,7978646,344,1646,,46.37970004146467,1,15,,service,7,"LINESTRING (-122.317277 47.6569015, -122.3172748 47.6569507, -122.3172577 47.6573184)",bike,1
