name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
University Way Northeast,27,4842987,1176,688,,77.63323975785347,1,20,,tertiary,5,"LINESTRING (-122.3133412 47.6546411, -122.3133151 47.6552773, -122.313313 47.6553127, -122.3133126 47.655339)",bike,1
University Way Northeast,28,4842987,1176,2449,,42.72595155989444,1,20,,tertiary,5,"LINESTRING (-122.3133412 47.6546411, -122.3133568 47.654257)",bike,1
University Way Northeast,29,4842987,2449,1176,,42.72595155989444,1,20,,tertiary,5,"LINESTRING (-122.3133568 47.654257, -122.3133412 47.6546411)",bike,1
University Way Northeast,30,4842987,2449,2447,,12.581072427982566,1,20,,tertiary,5,"LINESTRING (-122.3133568 47.654257, -122.3133589 47.6542066, -122.3133615 47.6541439)",bike,1
University Way Northeast,31,4842987,2447,2449,,12.581072427982566,1,20,,tertiary,5,"LINESTRING (-122.3133615 47.6541439, -122.3133589 47.6542066, -122.3133568 47.654257)",bike,1
University Way Northeast,32,4842987,2447,1101,,11.401820658852158,1,20,,tertiary,5,"LINESTRING (-122.3133615 47.6541439, -122.3133657 47.6540414)",bike,1
University Way Northeast,33,4842987,1101,2447,,11.401820658852158,1,20,,tertiary,5,"LINESTRING (-122.3133657 47.6540414, -122.3133615 47.6541439)",bike,1
University Way Northeast,34,4842987,1101,74,,49.012405157966484,1,20,,tertiary,5,"LINESTRING (-122.3133657 47.6540414, -122.3133781 47.6536007)",bike,1
University Way Northeast,35,4842987,74,1101,,49.012405157966484,1,20,,tertiary,5,"LINESTRING (-122.3133781 47.6536007, -122.3133657 47.6540414)",bike,1
University Way Northeast,36,4842987,74,75,,17.916264815027006,1,20,,tertiary,5,"LINESTRING (-122.3133781 47.6536007, -122.3133739 47.6534396)",bike,1
University Way Northeast,37,4842987,75,74,,17.916264815027006,1,20,,tertiary,5,"LINESTRING (-122.3133739 47.6534396, -122.3133781 47.6536007)",bike,1
Brooklyn Avenue Northeast,38,4848663,115,1104,,93.28743264758117,1,20,,residential,6,"LINESTRING (-122.3145931 47.6518391, -122.3145618 47.6519035, -122.314556 47.6519413, -122.3145435 47.6520234, -122.3145222 47.6526739)",bike,1
Brooklyn Avenue Northeast,39,4848663,1104,115,,93.28743264758118,1,20,,residential,6,"LINESTRING (-122.3145222 47.6526739, -122.3145435 47.6520234, -122.314556 47.6519413, -122.3145618 47.6519035, -122.3145931 47.6518391)",bike,1
Montlake Boulevard Northeast,40,4869277,81,1965,,53.44231607654108,6,30,,primary,3,"LINESTRING (-122.3045829 47.6490186, -122.3046044 47.6485382)",bike,0
,41,4869296,84,85,,59.528379508129404,1,29,,service,7,"LINESTRING (-122.3059358 47.6503207, -122.3060703 47.6503039, -122.3062223 47.6502999, -122.3062652 47.6502996, -122.3063072 47.6503056, -122.3063463 47.6503174, -122.3063809 47.6503346, -122.3064091 47.6503563, -122.3064299 47.6503816, -122.3064422 47.6504092, -122.3064455 47.650438, -122.3064451 47.6504534, -122.306444 47.6504949, -122.3064437 47.6505476)",bike,1
,42,4869296,85,84,,59.52837950812942,1,29,,service,7,"LINESTRING (-122.3064437 47.6505476, -122.306444 47.6504949, -122.3064451 47.6504534, -122.3064455 47.650438, -122.3064422 47.6504092, -122.3064299 47.6503816, -122.3064091 47.6503563, -122.3063809 47.6503346, -122.3063463 47.6503174, -122.3063072 47.6503056, -122.3062652 47.6502996, -122.3062223 47.6502999, -122.3060703 47.6503039, -122.3059358 47.6503207)",bike,1
,43,4869297,3,1058,,26.391710826094283,1,20,,service,7,"LINESTRING (-122.3038856 47.651066, -122.3037351 47.6510456, -122.3036871 47.6510364, -122.3036355 47.6510216, -122.3035517 47.6509947)",bike,1
,44,4869297,1058,3,,26.391710826094283,2,20,,service,7,"LINESTRING (-122.3035517 47.6509947, -122.3036355 47.6510216, -122.3036871 47.6510364, -122.3037351 47.6510456, -122.3038856 47.651066)",bike,1
,45,4869297,1058,86,,15.268114589228261,1,20,,service,7,"LINESTRING (-122.3035517 47.6509947, -122.3034374 47.6509539, -122.3033716 47.6509304)",bike,1
,46,4869297,86,1058,,15.268114589228261,2,20,,service,7,"LINESTRING (-122.3033716 47.6509304, -122.3034374 47.6509539, -122.3035517 47.6509947)",bike,1
,47,4869343,87,88,,60.16494405706112,1,30,,secondary,4,"LINESTRING (-122.304585 47.6509642, -122.3044488 47.6509705, -122.3043296 47.6509611, -122.3042884 47.6509494, -122.3042511 47.6509327, -122.3042191 47.6509116, -122.3042135 47.650906, -122.3041935 47.6508869, -122.3041751 47.6508593, -122.3041647 47.65083, -122.3041496 47.6507776, -122.3041263 47.6506446)",bike,0
Northeast Pacific Place,48,4869344,89,1586,,95.0005933374567,1,30,,secondary,4,"LINESTRING (-122.3034889 47.6518032, -122.3037298 47.6515764, -122.3038723 47.6514395, -122.3040292 47.6513099, -122.3042967 47.6511498)",bike,0
25th Avenue Northeast,49,4869363,95,50,,38.09839720307199,2,30,,primary,3,"LINESTRING (-122.3009961 47.659056, -122.3009897 47.6593986)",bike,0
Northeast 44th Street,50,4869367,56,55,,41.79424968200553,2,30,,secondary,4,"LINESTRING (-122.3003541 47.6605031, -122.3007011 47.6605028, -122.3007718 47.660501, -122.300912 47.6604973)",bike,1
Northeast 44th Street,51,4869367,55,56,,41.79424968200553,2,30,,secondary,4,"LINESTRING (-122.300912 47.6604973, -122.3007718 47.660501, -122.3007011 47.6605028, -122.3003541 47.6605031)",bike,1
,52,4869368,49,1394,,53.110988587396776,1,30,,secondary,4,"LINESTRING (-122.2996269 47.6606498, -122.2998734 47.6605551, -122.2999603 47.6605449, -122.3002934 47.6605097)",bike,0
,53,4869368,1394,56,,4.604816751725112,1,30,,secondary,4,"LINESTRING (-122.3002934 47.6605097, -122.3003541 47.6605031)",bike,0
,54,4869369,47,1429,,38.30856546012461,1,30,,secondary,4,"LINESTRING (-122.2992283 47.6612182, -122.2991381 47.6611694, -122.2990973 47.6611191, -122.299084 47.6610763, -122.2990933 47.6610145, -122.2991272 47.6609657, -122.2991696 47.6609252)",bike,0
Northeast 45th Street,55,4869372,45,46,,224.74168374693488,1,30,,secondary,4,"LINESTRING (-122.3024314 47.6612422, -122.3018467 47.6612407, -122.2994305 47.6612374)",bike,1
Northeast 45th Street,56,4869372,46,45,,224.74168374693488,2,30,,secondary,4,"LINESTRING (-122.2994305 47.6612374, -122.3018467 47.6612407, -122.3024314 47.6612422)",bike,1
Northeast 45th Street,57,4869373,46,47,,15.292760862704691,1,30,,secondary,4,"LINESTRING (-122.2994305 47.6612374, -122.2992283 47.6612182)",bike,0
Northeast 45th Street,58,4869373,47,1074,,38.87838273514521,1,30,,secondary,4,"LINESTRING (-122.2992283 47.6612182, -122.2988371 47.6611916, -122.2987123 47.6611802)",bike,0
Northeast 45th Street,59,4869375,48,97,,41.14003352435794,1,30,,secondary,4,"LINESTRING (-122.2983074 47.6610722, -122.2983366 47.6611687, -122.298404 47.661212, -122.2985089 47.6612344, -122.2987058 47.6612577)",bike,0
,60,4869376,92,645,,38.33753820065092,1,30,,secondary,4,"LINESTRING (-122.2972604 47.6612217, -122.2975598 47.6612852, -122.2977578 47.6612835)",bike,0
,61,4869376,645,97,,71.05475077057943,1,30,,secondary,4,"LINESTRING (-122.2977578 47.6612835, -122.2987058 47.6612577)",bike,0
Northeast 45th Street,62,4910384,2068,1436,,34.353072398977396,7,35,,primary,3,"LINESTRING (-122.2938147 47.6612091, -122.2942734 47.6612107)",bike,0
Northeast 45th Street,63,4910384,1436,882,,21.299358325881276,7,35,,primary,3,"LINESTRING (-122.2942734 47.6612107, -122.2945578 47.6612117)",bike,0
Northeast 45th Street,64,4910384,882,879,,80.25455923731325,7,35,,primary,3,"LINESTRING (-122.2945578 47.6612117, -122.2956294 47.6612155)",bike,0
6th Avenue Northeast,65,4910540,105,1780,,16.8571775036459,1,30,,tertiary,5,"LINESTRING (-122.3225415 47.654485, -122.3225419 47.6543334)",bike,1
6th Avenue Northeast,66,4910540,1780,105,,16.8571775036459,1,30,,tertiary,5,"LINESTRING (-122.3225419 47.6543334, -122.3225415 47.654485)",bike,1
Northeast Pacific Street,67,4910552,106,107,,119.26011739544342,1,30,,secondary,4,"LINESTRING (-122.3153297 47.6536421, -122.3157938 47.6536488, -122.3167436 47.6536625, -122.3169215 47.6536663)",bike,0
Northeast Pacific Street,68,4910554,2099,100,,83.13508200382702,1,30,,secondary,4,"LINESTRING (-122.3179804 47.6539433, -122.3183424 47.6541547, -122.3184815 47.6542304, -122.3187873 47.6543808, -122.3188466 47.6544099)",bike,0
Northeast Northlake Way,69,4910555,101,1868,,5.6990753736809685,1,30,,secondary,4,"LINESTRING (-122.31946 47.6545022, -122.3195336 47.6545152)",bike,1
Northeast Northlake Way,70,4910555,1868,101,,5.6990753736809685,1,30,,secondary,4,"LINESTRING (-122.3195336 47.6545152, -122.31946 47.6545022)",bike,1
Northeast Northlake Way,71,4910555,1868,102,,20.37359073067789,1,30,,secondary,4,"LINESTRING (-122.3195336 47.6545152, -122.3196193 47.6545303, -122.3198019 47.654542)",bike,1
Northeast Northlake Way,72,4910555,102,1868,,20.37359073067789,1,30,,secondary,4,"LINESTRING (-122.3198019 47.654542, -122.3196193 47.6545303, -122.3195336 47.6545152)",bike,1
Northeast Northlake Way,73,4910555,102,2629,,17.302854249964927,1,30,,secondary,4,"LINESTRING (-122.3198019 47.654542, -122.320032 47.6545282)",bike,1
Northeast Northlake Way,74,4910555,2629,102,,17.302854249964927,1,30,,secondary,4,"LINESTRING (-122.320032 47.6545282, -122.3198019 47.654542)",bike,1
Northeast Northlake Way,75,4910560,101,108,,44.22688442973548,1,30,,secondary,4,"LINESTRING (-122.31946 47.6545022, -122.3192969 47.6544212, -122.3189419 47.654316)",bike,0
Northeast Pacific Street,76,4910574,109,110,,116.09778933073511,1,30,,secondary,4,"LINESTRING (-122.3168765 47.6535859, -122.315796 47.6535676, -122.315327 47.6535596)",bike,0
Northeast Pacific Street,77,4910579,77,1031,,47.312122229543846,2,30,,secondary,4,"LINESTRING (-122.3145066 47.6535902, -122.3143495 47.6535884, -122.3142345 47.6535858, -122.314083 47.653581, -122.3138776 47.6535598)",bike,1
Northeast Pacific Street,78,4910579,1031,77,,47.31212222954385,2,30,,secondary,4,"LINESTRING (-122.3138776 47.6535598, -122.314083 47.653581, -122.3142345 47.6535858, -122.3143495 47.6535884, -122.3145066 47.6535902)",bike,1
,79,4910588,4,111,,30.482907511653046,1,30,,secondary,4,"LINESTRING (-122.3045452 47.6495139, -122.3046688 47.6493835, -122.304728 47.6493329, -122.3047888 47.6492962)",bike,0
