name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,9673,607203059,5401,5395,,13.485555480699022,1,4,,footway,9,"LINESTRING (-122.3096696 47.6570614, -122.3096607 47.6570518, -122.3096565 47.6570268, -122.3096685 47.6570029, -122.3096901 47.656987, -122.3097189 47.6569775, -122.3097432 47.6569762)",walk,0
,9674,607203059,5395,5400,,7.782140496683148,1,4,,footway,9,"LINESTRING (-122.3097432 47.6569762, -122.3097508 47.6569758, -122.3097814 47.6569823, -122.3098064 47.6569958, -122.3098221 47.6570147)",walk,0
,9675,607207359,4452,5421,,1.0319785714466274,1,4,,footway,9,"LINESTRING (-122.304632 47.6579966, -122.3046193 47.657993)",walk,0
,9676,607207360,1197,4452,,8.10993074901227,1,4,,footway,9,"LINESTRING (-122.304727 47.6580316, -122.304632 47.6579966)",walk,0
,9677,607207361,5420,5422,,6.574730710889696,1,4,,footway,9,"LINESTRING (-122.3046146 47.6580973, -122.3046119 47.6580382)",bike;walk,0
,9678,607207361,5422,5421,,5.056476369662405,1,4,,footway,9,"LINESTRING (-122.3046119 47.6580382, -122.3046193 47.657993)",bike;walk,0
,9679,607207361,5421,2846,,13.742828591392,1,4,,footway,9,"LINESTRING (-122.3046193 47.657993, -122.3046018 47.6579622, -122.3045408 47.6579202, -122.3045173 47.6579207, -122.3044947 47.6579257)",bike;walk,0
,9680,607207362,4451,1196,,6.257300116690136,1,4,,footway,9,"LINESTRING (-122.3050349 47.6580997, -122.3049872 47.6581459)",walk,0
,9681,607207364,5424,5423,,1.492719930931996,1,4,,footway,9,"LINESTRING (-122.3078302 47.6597261, -122.307829 47.6597395)",walk,0
,9682,607207365,5423,1857,,3.9223237114623077,1,4,,footway,9,"LINESTRING (-122.307829 47.6597395, -122.3078238 47.6597746)",walk,0
,9683,607207365,1857,5425,,3.507403512919273,1,4,,footway,9,"LINESTRING (-122.3078238 47.6597746, -122.307818 47.6598059)",walk,0
,9684,607207367,5429,5428,,1.2472059036169898,1,4,,footway,9,"LINESTRING (-122.3084139 47.6597242, -122.308413 47.6597354)",walk,0
,9685,607207368,5428,5427,,3.6922868569240364,1,4,,footway,9,"LINESTRING (-122.308413 47.6597354, -122.3084139 47.6597686)",walk,0
,9686,607207368,5427,5426,,3.7923460547091383,1,4,,footway,9,"LINESTRING (-122.3084139 47.6597686, -122.308413 47.6598027)",walk,0
,9687,607207369,5432,5431,,4.98153271413404,1,4,,footway,9,"LINESTRING (-122.3088805 47.6598072, -122.3088805 47.6597624)",walk,0
,9688,607207369,5431,5436,,4.463734535419005,1,4,,footway,9,"LINESTRING (-122.3088805 47.6597624, -122.308894 47.6597233)",walk,0
,9689,607207370,5434,5433,,1.4226140193683714,1,4,,footway,9,"LINESTRING (-122.308552 47.659724, -122.3085388 47.6597148)",walk,0
,9690,607207371,5435,6168,,3.939642371826101,1,4,,footway,9,"LINESTRING (-122.308662 47.6597244, -122.3086094 47.6597248)",walk,0
,9691,607207371,6168,5434,,4.299799758011675,1,4,,footway,9,"LINESTRING (-122.3086094 47.6597248, -122.308552 47.659724)",walk,0
,9692,607207372,5436,5435,,17.377411516366557,1,4,,footway,9,"LINESTRING (-122.308894 47.6597233, -122.3088244 47.659724, -122.308759 47.659725, -122.308662 47.6597244)",walk,0
,9693,607207373,5383,5437,,1.8889175302460635,1,4,,footway,9,"LINESTRING (-122.3090722 47.6597184, -122.309047 47.6597191)",walk,0
