o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
16,D1,6,B1,0.6567644404488793,"LINESTRING (-122.3194182 47.6519817,-122.3184912 47.6587249)"
16,D1,7,B2,0.9761512340416515,"LINESTRING (-122.3194182 47.6519817,-122.3118111 47.6586508)"
16,D1,8,B3,1.5534355195746847,"LINESTRING (-122.3194182 47.6519817,-122.3046924 47.6584889)"
16,D1,9,B4,2.2155346053660456,"LINESTRING (-122.3194182 47.6519817,-122.2975099 47.6588555)"
16,D1,10,B5,2.9651607804200513,"LINESTRING (-122.3194182 47.6519817,-122.289528 47.6591177)"
16,D1,11,C1,0.3443670958984601,"LINESTRING (-122.3194182 47.6519817,-122.3185369 47.6554401)"
16,D1,12,C2,0.8107349493799496,"LINESTRING (-122.3194182 47.6519817,-122.3117603 47.6554393)"
16,D1,13,C3,1.4659639693358435,"LINESTRING (-122.3194182 47.6519817,-122.3046049 47.6553569)"
16,D1,14,C4,1.9930861229898202,"LINESTRING (-122.3194182 47.6519817,-122.2990484 47.6554076)"
16,D1,15,C5,3.155192491085572,"LINESTRING (-122.3194182 47.6519817,-122.2870025 47.6562818)"
16,D1,16,D1,0.0,"LINESTRING (-122.3194182 47.6519817,-122.3194182 47.6519817)"
16,D1,17,D2,0.766967880079711,"LINESTRING (-122.3194182 47.6519817,-122.3114752 47.6522827)"
16,D1,18,D3,1.4178714621926223,"LINESTRING (-122.3194182 47.6519817,-122.3047238 47.6520277)"
16,D1,19,D4,1.8830166049912112,"LINESTRING (-122.3194182 47.6519817,-122.2999068 47.652366)"
16,D1,20,D5,2.894056710700234,"LINESTRING (-122.3194182 47.6519817,-122.2894249 47.6520183)"
16,D1,21,E1,0.32568356628266165,"LINESTRING (-122.3194182 47.6519817,-122.3194636 47.6486067)"
16,D1,22,E2,0.9320314079903481,"LINESTRING (-122.3194182 47.6519817,-122.3100719 47.6495426)"
16,D1,23,E3,1.4858595275288802,"LINESTRING (-122.3194182 47.6519817,-122.3043097 47.6490044)"
16,D1,24,E4,1.9104771390159538,"LINESTRING (-122.3194182 47.6519817,-122.2998932 47.6486949)"
16,D1,25,E5,2.911554594835301,"LINESTRING (-122.3194182 47.6519817,-122.2894249 47.6486783)"
16,D1,26,Gate1,0.7461778202895255,"LINESTRING (-122.3194182 47.6519817,-122.3263749 47.6553592)"
16,D1,27,Gate2,1.9559458560800036,"LINESTRING (-122.3194182 47.6519817,-122.3042049 47.6653783)"
16,D1,28,Gate3,3.6217975170851666,"LINESTRING (-122.3194182 47.6519817,-122.282035 47.6553592)"
16,D1,29,Gate4,1.601721970011908,"LINESTRING (-122.3194182 47.6519817,-122.3042049 47.64534)"
17,D2,1,A1,1.136811373544993,"LINESTRING (-122.3114752 47.6522827,-122.3182165 47.6619451)"
17,D2,2,A2,0.9463199269317353,"LINESTRING (-122.3114752 47.6522827,-122.3120394 47.6620739)"
17,D2,3,A3,1.1434915949458158,"LINESTRING (-122.3114752 47.6522827,-122.3045975 47.6619336)"
17,D2,4,A4,1.650532781505809,"LINESTRING (-122.3114752 47.6522827,-122.297502 47.6621496)"
17,D2,5,A5,2.3095262276224555,"LINESTRING (-122.3114752 47.6522827,-122.2895982 47.6619935)"
17,D2,6,B1,0.9190666897281703,"LINESTRING (-122.3114752 47.6522827,-122.3184912 47.6587249)"
17,D2,7,B2,0.6153150354339232,"LINESTRING (-122.3114752 47.6522827,-122.3118111 47.6586508)"
17,D2,8,B3,0.8870954357313862,"LINESTRING (-122.3114752 47.6522827,-122.3046924 47.6584889)"
17,D2,9,B4,1.4892968176831278,"LINESTRING (-122.3114752 47.6522827,-122.2975099 47.6588555)"
17,D2,10,B5,2.2180091211994357,"LINESTRING (-122.3114752 47.6522827,-122.289528 47.6591177)"
17,D2,11,C1,0.746386957025383,"LINESTRING (-122.3114752 47.6522827,-122.3185369 47.6554401)"
17,D2,12,C2,0.30581894256332487,"LINESTRING (-122.3114752 47.6522827,-122.3117603 47.6554393)"
17,D2,13,C3,0.7262527067601855,"LINESTRING (-122.3114752 47.6522827,-122.3046049 47.6553569)"
17,D2,14,C4,1.2363940050922786,"LINESTRING (-122.3114752 47.6522827,-122.2990484 47.6554076)"
17,D2,15,C5,2.3926949462355025,"LINESTRING (-122.3114752 47.6522827,-122.2870025 47.6562818)"
17,D2,16,D1,0.766967880079711,"LINESTRING (-122.3114752 47.6522827,-122.3194182 47.6519817)"
17,D2,17,D2,0.0,"LINESTRING (-122.3114752 47.6522827,-122.3114752 47.6522827)"
17,D2,18,D3,0.6519111511509899,"LINESTRING (-122.3114752 47.6522827,-122.3047238 47.6520277)"
17,D2,19,D4,1.1162626187580214,"LINESTRING (-122.3114752 47.6522827,-122.2999068 47.652366)"
17,D2,20,D5,2.127789577716383,"LINESTRING (-122.3114752 47.6522827,-122.2894249 47.6520183)"
17,D2,21,E1,0.8484879864850304,"LINESTRING (-122.3114752 47.6522827,-122.3194636 47.6486067)"
17,D2,22,E2,0.2970514592956229,"LINESTRING (-122.3114752 47.6522827,-122.3100719 47.6495426)"
17,D2,23,E3,0.760329100160932,"LINESTRING (-122.3114752 47.6522827,-122.3043097 47.6490044)"
17,D2,24,E4,1.169943729258152,"LINESTRING (-122.3114752 47.6522827,-122.2998932 47.6486949)"
17,D2,25,E5,2.1558739566950442,"LINESTRING (-122.3114752 47.6522827,-122.2894249 47.6486783)"
17,D2,26,Gate1,1.4679954414998235,"LINESTRING (-122.3114752 47.6522827,-122.3263749 47.6553592)"
17,D2,27,Gate2,1.4452662377241914,"LINESTRING (-122.3114752 47.6522827,-122.3042049 47.6653783)"
17,D2,28,Gate3,2.8561561446027244,"LINESTRING (-122.3114752 47.6522827,-122.282035 47.6553592)"
17,D2,29,Gate4,0.9699911894392776,"LINESTRING (-122.3114752 47.6522827,-122.3042049 47.64534)"
18,D3,1,A1,1.6157663761397536,"LINESTRING (-122.3047238 47.6520277,-122.3182165 47.6619451)"
18,D3,2,A2,1.1991370372574248,"LINESTRING (-122.3047238 47.6520277,-122.3120394 47.6620739)"
18,D3,3,A3,0.9559012819694532,"LINESTRING (-122.3047238 47.6520277,-122.3045975 47.6619336)"
18,D3,4,A4,1.1997656215939567,"LINESTRING (-122.3047238 47.6520277,-122.297502 47.6621496)"
18,D3,5,A5,1.7477754789690823,"LINESTRING (-122.3047238 47.6520277,-122.2895982 47.6619935)"
18,D3,6,B1,1.477255538818205,"LINESTRING (-122.3047238 47.6520277,-122.3184912 47.6587249)"
18,D3,7,B2,0.9359794382140687,"LINESTRING (-122.3047238 47.6520277,-122.3118111 47.6586508)"
18,D3,8,B3,0.6234453557128431,"LINESTRING (-122.3047238 47.6520277,-122.3046924 47.6584889)"
18,D3,9,B4,0.9584047398359463,"LINESTRING (-122.3047238 47.6520277,-122.2975099 47.6588555)"
18,D3,10,B5,1.617988094215502,"LINESTRING (-122.3047238 47.6520277,-122.289528 47.6591177)"
18,D3,11,C1,1.3728933720368122,"LINESTRING (-122.3047238 47.6520277,-122.3185369 47.6554401)"
18,D3,12,C2,0.7545468622654392,"LINESTRING (-122.3047238 47.6520277,-122.3117603 47.6554393)"
18,D3,13,C3,0.32143636832334926,"LINESTRING (-122.3047238 47.6520277,-122.3046049 47.6553569)"
18,D3,14,C4,0.6373713784476798,"LINESTRING (-122.3047238 47.6520277,-122.2990484 47.6554076)"
18,D3,15,C5,1.7585073828324462,"LINESTRING (-122.3047238 47.6520277,-122.2870025 47.6562818)"
18,D3,16,D1,1.4178714621926223,"LINESTRING (-122.3047238 47.6520277,-122.3194182 47.6519817)"
18,D3,17,D2,0.6519111511509899,"LINESTRING (-122.3047238 47.6520277,-122.3114752 47.6522827)"
18,D3,18,D3,0.0,"LINESTRING (-122.3047238 47.6520277,-122.3047238 47.6520277)"
18,D3,19,D4,0.4659316876385913,"LINESTRING (-122.3047238 47.6520277,-122.2999068 47.652366)"
18,D3,20,D5,1.476190306341923,"LINESTRING (-122.3047238 47.6520277,-122.2894249 47.6520183)"
18,D3,21,E1,1.4600437161470396,"LINESTRING (-122.3047238 47.6520277,-122.3194636 47.6486067)"
18,D3,22,E2,0.5690284982511614,"LINESTRING (-122.3047238 47.6520277,-122.3100719 47.6495426)"
18,D3,23,E3,0.29443979527709296,"LINESTRING (-122.3047238 47.6520277,-122.3043097 47.6490044)"
18,D3,24,E4,0.5662778375351497,"LINESTRING (-122.3047238 47.6520277,-122.2998932 47.6486949)"
