o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
2,A2,20,D5,1.5812786340906484,"LINESTRING (-111.9360151 33.429841,-111.9250205 33.4176885)"
2,A2,21,E1,1.496773907952447,"LINESTRING (-111.9360151 33.429841,-111.940038 33.4148595)"
2,A2,22,E2,1.4030029378005087,"LINESTRING (-111.9360151 33.429841,-111.9361338 33.4153011)"
2,A2,23,E3,1.4566353494241304,"LINESTRING (-111.9360151 33.429841,-111.9326476 33.4151252)"
2,A2,24,E4,1.641183366676939,"LINESTRING (-111.9360151 33.429841,-111.9282618 33.4147021)"
2,A2,25,E5,1.7882752553666121,"LINESTRING (-111.9360151 33.429841,-111.9250165 33.4149242)"
2,A2,26,Gate1,1.0948646580949568,"LINESTRING (-111.9360151 33.429841,-111.9440561 33.4218351)"
2,A2,27,Gate2,0.4664859583760339,"LINESTRING (-111.9360151 33.429841,-111.9323255 33.4329651)"
2,A2,28,Gate3,1.6764712886416793,"LINESTRING (-111.9360151 33.429841,-111.920595 33.4218351)"
2,A2,29,Gate4,1.8804412251836577,"LINESTRING (-111.9360151 33.429841,-111.9323255 33.410705)"
3,A3,1,A1,0.765005980996234,"LINESTRING (-111.9323473 33.4288298,-111.9402676 33.4291861)"
3,A3,2,A2,0.3671101642291674,"LINESTRING (-111.9323473 33.4288298,-111.9360151 33.429841)"
3,A3,3,A3,0.0,"LINESTRING (-111.9323473 33.4288298,-111.9323473 33.4288298)"
3,A3,4,A4,0.35882098601248313,"LINESTRING (-111.9323473 33.4288298,-111.9286287 33.4287965)"
3,A3,5,A5,0.684573892934889,"LINESTRING (-111.9323473 33.4288298,-111.9252591 33.4291343)"
3,A3,6,B1,0.7736731692360131,"LINESTRING (-111.9323473 33.4288298,-111.9396172 33.4254476)"
3,A3,7,B2,0.5088537840219163,"LINESTRING (-111.9323473 33.4288298,-111.9361081 33.4251329)"
3,A3,8,B3,0.39666255831741115,"LINESTRING (-111.9323473 33.4288298,-111.9322211 33.4247208)"
3,A3,9,B4,0.4528551363035644,"LINESTRING (-111.9323473 33.4288298,-111.9290482 33.4254918)"
