zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
11,C1,-111.94005472455005,33.42184149085319,"POLYGON ((-111.94210109075969 33.4199801095301,-111.94210109075969 33.4236901095301,-111.93819109075969 33.4236901095301,-111.93819109075969 33.4199801095301,-111.94210109075969 33.4199801095301))",POINT (-111.94005472455005 33.42184149085319),28,399.1618782596607,967.7813003796801
12,C2,-111.9360853133359,33.42200133964905,"POLYGON ((-111.93819109075969 33.4199801095301,-111.93819109075969 33.4236901095301,-111.93428109075968 33.4236901095301,-111.93428109075968 33.4199801095301,-111.93819109075969 33.4199801095301))",POINT (-111.9360853133359 33.42200133964905),34,387.1837341830784,851.7653230417154
13,C3,-111.93236423664851,33.42170850613355,"POLYGON ((-111.93428109075968 33.4199801095301,-111.93428109075968 33.4236901095301,-111.93037109075968 33.4236901095301,-111.93037109075968 33.4199801095301,-111.93428109075968 33.4199801095301))",POINT (-111.93236423664851 33.42170850613355),42,415.451312896576,561.0972786151873
14,C4,-111.92868194062498,33.42148113091672,"POLYGON ((-111.93037109075968 33.4199801095301,-111.93037109075968 33.4236901095301,-111.92646109075967 33.4236901095301,-111.92646109075967 33.4199801095301,-111.93037109075968 33.4199801095301))",POINT (-111.92868194062498 33.42148113091672),14,3378.084608564033,3585.8367657597255
15,C5,-111.9249156518461,33.42198336855992,"POLYGON ((-111.92646109075967 33.4199801095301,-111.92646109075967 33.4236901095301,-111.92255109075967 33.4236901095301,-111.92255109075967 33.4199801095301,-111.92646109075967 33.4199801095301))",POINT (-111.9249156518461 33.42198336855992),25,200.14323504521596,1359.2042176873215
16,D1,-111.93966340866167,33.418285018311536,"POLYGON ((-111.94210109075969 33.4162701095301,-111.94210109075969 33.4199801095301,-111.93819109075969 33.4199801095301,-111.93819109075969 33.4162701095301,-111.94210109075969 33.4162701095301))",POINT (-111.93966340866167 33.418285018311536),21,271.9959321112896,652.2584934349887
17,D2,-111.9362585198217,33.417927713716736,"POLYGON ((-111.93819109075969 33.4162701095301,-111.93819109075969 33.4199801095301,-111.93428109075968 33.4199801095301,-111.93428109075968 33.4162701095301,-111.93819109075969 33.4162701095301))",POINT (-111.9362585198217 33.417927713716736),26,652.6508056773375,624.0190515832768
18,D3,-111.93256984751254,33.41826681504322,"POLYGON ((-111.93428109075968 33.4162701095301,-111.93428109075968 33.4199801095301,-111.93037109075968 33.4199801095301,-111.93037109075968 33.4162701095301,-111.93428109075968 33.4162701095301))",POINT (-111.93256984751254 33.41826681504322),30,684.11297306672,682.6521812585152
19,D4,-111.92858166054957,33.41821615601786,"POLYGON ((-111.93037109075968 33.4162701095301,-111.93037109075968 33.4199801095301,-111.92646109075967 33.4199801095301,-111.92646109075967 33.4162701095301,-111.93037109075968 33.4162701095301))",POINT (-111.92858166054957 33.41821615601786),17,648.7860667038591,891.9349880409089
20,D5,-111.92502048371082,33.41768845057254,"POLYGON ((-111.92646109075967 33.4162701095301,-111.92646109075967 33.4199801095301,-111.92255109075967 33.4199801095301,-111.92255109075967 33.4162701095301,-111.92646109075967 33.4162701095301))",POINT (-111.92502048371082 33.41768845057254),34,196.439696393888,647.6400331635712
21,E1,-111.94003799223664,33.414859513365236,"POLYGON ((-111.94210109075969 33.412560109530105,-111.94210109075969 33.4162701095301,-111.93819109075969 33.4162701095301,-111.93819109075969 33.412560109530105,-111.94210109075969 33.412560109530105))",POINT (-111.94003799223664 33.414859513365236),3,56.909816856288,56.909816856288
22,E2,-111.93613384370643,33.41530110151863,"POLYGON ((-111.93819109075969 33.412560109530105,-111.93819109075969 33.4162701095301,-111.93428109075968 33.4162701095301,-111.93428109075968 33.412560109530105,-111.93819109075969 33.412560109530105))",POINT (-111.93613384370643 33.41530110151863),16,133.790670151424,814.6883232508287
23,E3,-111.93264759068282,33.41512517309871,"POLYGON ((-111.93428109075968 33.412560109530105,-111.93428109075968 33.4162701095301,-111.93037109075968 33.4162701095301,-111.93037109075968 33.412560109530105,-111.93428109075968 33.412560109530105))",POINT (-111.93264759068282 33.41512517309871),8,264.439301037536,696.2664181880768
24,E4,-111.92826178395428,33.41470210283388,"POLYGON ((-111.93037109075968 33.412560109530105,-111.93037109075968 33.4162701095301,-111.92646109075967 33.4162701095301,-111.92646109075967 33.412560109530105,-111.93037109075968 33.412560109530105))",POINT (-111.92826178395428 33.41470210283388),34,441.847919468256,416.16991155488
25,E5,-111.92501647333664,33.4149241783093,"POLYGON ((-111.92646109075967 33.412560109530105,-111.92646109075967 33.4162701095301,-111.92255109075967 33.4162701095301,-111.92255109075967 33.412560109530105,-111.92646109075967 33.412560109530105))",POINT (-111.92501647333664 33.4149241783093),21,109.14879625315201,524.7015159496065
26,Gate1,-111.94405609075969,33.42183505476505,,POINT (-111.94405609075969 33.42183505476505),0,52000.0,52000.0
27,Gate2,-111.93232554537985,33.432965109530095,,POINT (-111.93232554537985 33.432965109530095),0,45000.0,45000.0
28,Gate3,-111.920595,33.42183505476505,,POINT (-111.920595 33.42183505476505),0,72000.0,72000.0
29,Gate4,-111.93232554537985,33.410705,,POINT (-111.93232554537985 33.410705),0,48000.0,48000.0
