name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
West 10th Street,69,5608313,132,8,,50.294151806181134,1,29,,residential,6,"LINESTRING (-111.9417794 33.4190532, -111.9412375 33.4190521)",bike;auto;walk,1
West 10th Street,70,5608313,132,146,,5.9689676825307405,1,29,,residential,6,"LINESTRING (-111.9417794 33.4190532, -111.9418437 33.4190521)",bike;auto;walk,1
West 10th Street,71,5608313,146,132,,5.9689676825307405,1,29,,residential,6,"LINESTRING (-111.9418437 33.4190521, -111.9417794 33.4190532)",bike;auto;walk,1
West 10th Street,72,5608313,146,2337,,23.788170332683165,1,29,,residential,6,"LINESTRING (-111.9418437 33.4190521, -111.9421 33.4190503)",bike;auto;walk,1
West 10th Street,73,5608313,2337,146,,23.788170332683165,1,29,,residential,6,"LINESTRING (-111.9421 33.4190503, -111.9418437 33.4190521)",bike;auto;walk,1
West Hudson Lane,74,5611840,32,2141,,52.7763261727913,1,29,,residential,6,"LINESTRING (-111.9398928 33.4136273, -111.9404614 33.4136244)",bike;auto;walk,1
West Hudson Lane,75,5611840,2141,32,,52.7763261727913,1,29,,residential,6,"LINESTRING (-111.9404614 33.4136244, -111.9398928 33.4136273)",bike;auto;walk,1
West Hudson Lane,76,5611840,2141,1986,,77.5494853669022,1,29,,residential,6,"LINESTRING (-111.9404614 33.4136244, -111.9412969 33.4136201)",bike;auto;walk,1
West Hudson Lane,77,5611840,1986,2141,,77.5494853669022,1,29,,residential,6,"LINESTRING (-111.9412969 33.4136201, -111.9404614 33.4136244)",bike;auto;walk,1
West Hudson Lane,78,5611840,1986,2338,,74.54209405049055,1,29,,residential,6,"LINESTRING (-111.9412969 33.4136201, -111.9421 33.4136161)",bike;auto;walk,1
West Hudson Lane,79,5611840,2338,1986,,74.54209405049055,1,29,,residential,6,"LINESTRING (-111.9421 33.4136161, -111.9412969 33.4136201)",bike;auto;walk,1
East University Drive,80,5614812,262,268,,7.953598139924587,2,35,,secondary,4,"LINESTRING (-111.9381462 33.4218977, -111.9380605 33.4218977)",bike;auto;walk,0
East University Drive,81,5614812,268,327,,120.94923563119183,2,35,,secondary,4,"LINESTRING (-111.9380605 33.4218977, -111.9367573 33.4219048)",bike;auto;walk,0
East University Drive,82,5614812,327,34,,8.798847870176235,2,35,,secondary,4,"LINESTRING (-111.9367573 33.4219048, -111.9366625 33.4219038)",bike;auto;walk,0
East University Drive,83,5614812,34,328,,9.253068795312375,2,35,,secondary,4,"LINESTRING (-111.9366625 33.4219038, -111.9365628 33.4219033)",bike;auto;walk,0
East University Drive,84,5614812,328,677,,66.45012817586951,2,35,,secondary,4,"LINESTRING (-111.9365628 33.4219033, -111.9358468 33.4219032)",bike;auto;walk,0
East University Drive,85,5614812,677,678,,18.11601235313975,2,35,,secondary,4,"LINESTRING (-111.9358468 33.4219032, -111.9356516 33.4219032)",bike;auto;walk,0
East University Drive,86,5614812,678,326,,54.83610941956766,2,35,,secondary,4,"LINESTRING (-111.9356516 33.4219032, -111.9352555 33.4219032, -111.9350608 33.4218992)",bike;auto;walk,0
East University Drive,87,5614812,326,2290,,10.425146696922791,2,35,,secondary,4,"LINESTRING (-111.9350608 33.4218992, -111.9349485 33.421897)",bike;auto;walk,0
East 3rd Street,88,5615753,342,1222,,20.14725121488889,1,29,,unclassified,11,"LINESTRING (-111.9395019 33.4273825, -111.939719 33.4273828)",bike;auto;walk,1
East 3rd Street,89,5615753,1222,342,,20.14725121488889,1,29,,unclassified,11,"LINESTRING (-111.939719 33.4273828, -111.9395019 33.4273825)",bike;auto;walk,1
East 3rd Street,90,5615753,1222,1803,,11.276181703272977,1,29,,unclassified,11,"LINESTRING (-111.939719 33.4273828, -111.9398405 33.427384)",bike;auto;walk,1
East 3rd Street,91,5615753,1803,1222,,11.276181703272977,1,29,,unclassified,11,"LINESTRING (-111.9398405 33.427384, -111.939719 33.4273828)",bike;auto;walk,1
East 3rd Street,92,5615753,1803,343,,11.39669171137886,1,29,,unclassified,11,"LINESTRING (-111.9398405 33.427384, -111.9398764 33.4273843, -111.9399633 33.4273851)",bike;auto;walk,1
East 3rd Street,93,5615753,343,1803,,11.39669171137886,1,29,,unclassified,11,"LINESTRING (-111.9399633 33.4273851, -111.9398764 33.4273843, -111.9398405 33.427384)",bike;auto;walk,1
East 5th Street,94,5619424,125,1585,,11.916002782046068,1,30,,tertiary,5,"LINESTRING (-111.9394161 33.4254973, -111.9392877 33.4254971)",bike;auto;walk,1
East 5th Street,95,5619424,1585,125,,11.916002782046068,1,30,,tertiary,5,"LINESTRING (-111.9392877 33.4254971, -111.9394161 33.4254973)",bike;auto;walk,1
East 5th Street,96,5619424,1585,1586,,22.746205522862958,1,30,,tertiary,5,"LINESTRING (-111.9392877 33.4254971, -111.9390426 33.4254967)",bike;auto;walk,1
East 5th Street,97,5619424,1586,1585,,22.746205522862958,1,30,,tertiary,5,"LINESTRING (-111.9390426 33.4254967, -111.9392877 33.4254971)",bike;auto;walk,1
East 5th Street,98,5619424,1586,1236,,19.09899357739438,1,30,,tertiary,5,"LINESTRING (-111.9390426 33.4254967, -111.9388368 33.4254969)",bike;auto;walk,1
East 5th Street,99,5619424,1236,1586,,19.09899357739438,1,30,,tertiary,5,"LINESTRING (-111.9388368 33.4254969, -111.9390426 33.4254967)",bike;auto;walk,1
East 5th Street,100,5619424,1236,2102,,52.14654775006798,1,30,,tertiary,5,"LINESTRING (-111.9388368 33.4254969, -111.9382883 33.4254956, -111.9382749 33.4254956)",bike;auto;walk,1
East 5th Street,101,5619424,2102,1236,,52.14654775006798,1,30,,tertiary,5,"LINESTRING (-111.9382749 33.4254956, -111.9382883 33.4254956, -111.9388368 33.4254969)",bike;auto;walk,1
East 5th Street,102,5619424,2102,514,,10.570353454102824,1,30,,tertiary,5,"LINESTRING (-111.9382749 33.4254956, -111.938161 33.4254954)",bike;auto;walk,1
East 5th Street,103,5619424,514,2102,,10.570353454102824,1,30,,tertiary,5,"LINESTRING (-111.938161 33.4254954, -111.9382749 33.4254956)",bike;auto;walk,1
East 5th Street,104,5619424,514,479,,128.9886324656564,1,30,,tertiary,5,"LINESTRING (-111.938161 33.4254954, -111.9380281 33.4254952, -111.9367711 33.4254993)",bike;auto;walk,1
East 5th Street,105,5619424,479,514,,128.9886324656564,1,30,,tertiary,5,"LINESTRING (-111.9367711 33.4254993, -111.9380281 33.4254952, -111.938161 33.4254954)",bike;auto;walk,1
East 5th Street,106,5619424,479,39,,9.15972169028034,1,30,,tertiary,5,"LINESTRING (-111.9367711 33.4254993, -111.9366724 33.4254992)",bike;auto;walk,1
East 5th Street,107,5619424,39,479,,9.15972169028034,1,30,,tertiary,5,"LINESTRING (-111.9366724 33.4254992, -111.9367711 33.4254993)",bike;auto;walk,1
South McAllister Avenue,108,5624529,663,23,,170.32221636546606,1,29,,tertiary,5,"LINESTRING (-111.928844 33.4180457, -111.9288373 33.4178241, -111.9288318 33.4176416, -111.9288935 33.4173718, -111.9290271 33.4170735, -111.9292471 33.4167849, -111.9294043 33.4166443)",bike;auto;walk,1
South McAllister Avenue,109,5624529,23,663,,170.32221636546606,1,29,,tertiary,5,"LINESTRING (-111.9294043 33.4166443, -111.9292471 33.4167849, -111.9290271 33.4170735, -111.9288935 33.4173718, -111.9288318 33.4176416, -111.9288373 33.4178241, -111.928844 33.4180457)",bike;auto;walk,1
East 14th Street,110,5627987,43,44,,198.45991905213782,1,29,,residential,6,"LINESTRING (-111.9370709 33.4135303, -111.9350416 33.4135466, -111.9349328 33.4135475)",bike;auto;walk,1
East 14th Street,111,5627987,44,43,,198.45991905213782,1,29,,residential,6,"LINESTRING (-111.9349328 33.4135475, -111.9350416 33.4135466, -111.9370709 33.4135303)",bike;auto;walk,1
South Packard Drive,112,5630444,2,1221,,10.570484777814473,1,29,,unclassified,11,"LINESTRING (-111.9290798 33.4242989, -111.9291154 33.4243892)",bike;auto;walk,1
South Packard Drive,113,5630444,1221,2,,10.570484777814473,1,29,,unclassified,11,"LINESTRING (-111.9291154 33.4243892, -111.9290798 33.4242989)",bike;auto;walk,1
South Packard Drive,114,5630444,1221,65,,48.40646047861387,1,29,,unclassified,11,"LINESTRING (-111.9291154 33.4243892, -111.9292331 33.4246528, -111.9292598 33.4248052)",bike;auto;walk,1
South Packard Drive,115,5630444,65,1221,,48.40646047861387,1,29,,unclassified,11,"LINESTRING (-111.9292598 33.4248052, -111.9292331 33.4246528, -111.9291154 33.4243892)",bike;auto;walk,1
South Packard Drive,116,5630444,65,1213,,9.774051675570883,1,29,,unclassified,11,"LINESTRING (-111.9292598 33.4248052, -111.92926 33.4248931)",bike;auto;walk,1
South Packard Drive,117,5630444,1213,65,,9.774051675570883,1,29,,unclassified,11,"LINESTRING (-111.92926 33.4248931, -111.9292598 33.4248052)",bike;auto;walk,1
South Packard Drive,118,5630444,1213,64,,6.504909828352477,1,29,,unclassified,11,"LINESTRING (-111.92926 33.4248931, -111.9292601 33.4249516)",bike;auto;walk,1
South Packard Drive,119,5630444,64,1213,,6.504909828352477,1,29,,unclassified,11,"LINESTRING (-111.9292601 33.4249516, -111.92926 33.4248931)",bike;auto;walk,1
South Packard Drive,120,5630444,64,1001,,195.6802671975444,1,29,,unclassified,11,"LINESTRING (-111.9292601 33.4249516, -111.929282 33.4267113)",bike;auto;walk,1
South Packard Drive,121,5630444,1001,64,,195.6802671975444,1,29,,unclassified,11,"LINESTRING (-111.929282 33.4267113, -111.9292601 33.4249516)",bike;auto;walk,1
South Packard Drive,122,5630444,1001,1947,,68.43565033893798,1,29,,unclassified,11,"LINESTRING (-111.929282 33.4267113, -111.929292 33.4273267)",bike;auto;walk,1
