zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
16,D1,-122.33529169085831,47.651343742853506,"POLYGON ((-122.3410025 47.6490735775604,-122.3410025 47.6537035775604,-122.3305325 47.6537035775604,-122.3305325 47.6490735775604,-122.3410025 47.6490735775604))",POINT (-122.33529169085831 47.651343742853506),698,1032.2384482911357,1053.1856207085182
17,D2,-122.32460962429364,47.65148459936924,"POLYGON ((-122.3305325 47.6490735775604,-122.3305325 47.6537035775604,-122.3200625 47.6537035775604,-122.3200625 47.6490735775604,-122.3305325 47.6490735775604))",POINT (-122.32460962429364 47.65148459936924),169,411.1764151173052,699.1206950727551
18,D3,-122.31383414234256,47.651699631624304,"POLYGON ((-122.3200625 47.6490735775604,-122.3200625 47.6537035775604,-122.30959250000001 47.6537035775604,-122.30959250000001 47.6490735775604,-122.3200625 47.6490735775604))",POINT (-122.31383414234256 47.651699631624304),154,1010.4383005580165,1071.694412211258
19,D4,-122.30524400405493,47.65166417582686,"POLYGON ((-122.30959250000001 47.6490735775604,-122.30959250000001 47.6537035775604,-122.29912250000001 47.6537035775604,-122.29912250000001 47.6490735775604,-122.30959250000001 47.6490735775604))",POINT (-122.30524400405493 47.65166417582686),68,1141.1449058655426,1108.0176691763843
20,D5,-122.29899948000002,47.65040546,"POLYGON ((-122.29912250000001 47.6490735775604,-122.29912250000001 47.6537035775604,-122.28865250000001 47.6537035775604,-122.28865250000001 47.6490735775604,-122.29912250000001 47.6490735775604))",POINT (-122.29899948000002 47.65040546),0,0.0,0.0
21,E1,-122.33598033102474,47.64743551265102,"POLYGON ((-122.3410025 47.6444435775604,-122.3410025 47.6490735775604,-122.3305325 47.6490735775604,-122.3305325 47.6444435775604,-122.3410025 47.6444435775604))",POINT (-122.33598033102474 47.64743551265102),151,536.1452856943805,783.8531751700673
22,E2,-122.32280573128149,47.64822763558698,"POLYGON ((-122.3305325 47.6444435775604,-122.3305325 47.6490735775604,-122.3200625 47.6490735775604,-122.3200625 47.6444435775604,-122.3305325 47.6444435775604))",POINT (-122.32280573128149 47.64822763558698),76,173.89581627168005,282.93855571566087
23,E3,-122.3177506441697,47.64814324079282,"POLYGON ((-122.3200625 47.6444435775604,-122.3200625 47.6490735775604,-122.30959250000001 47.6490735775604,-122.30959250000001 47.6444435775604,-122.3200625 47.6444435775604))",POINT (-122.3177506441697 47.64814324079282),104,153.84862516675196,153.84862516675196
24,E4,-122.3040096714675,47.648530890869225,"POLYGON ((-122.30959250000001 47.6444435775604,-122.30959250000001 47.6490735775604,-122.29912250000001 47.6490735775604,-122.29912250000001 47.6444435775604,-122.30959250000001 47.6444435775604))",POINT (-122.3040096714675 47.648530890869225),12,209.07770046972163,792.7512585774208
25,E5,-122.29388750000001,47.646758577560405,"POLYGON ((-122.29912250000001 47.6444435775604,-122.29912250000001 47.6490735775604,-122.28865250000001 47.6490735775604,-122.28865250000001 47.6444435775604,-122.29912250000001 47.6444435775604))",POINT (-122.29388750000001 47.646758577560405),0,0.0,0.0
26,Gate1,-122.3462375,47.6560167887802,,POINT (-122.3462375 47.6560167887802),0,22000.0,22000.0
27,Gate2,-122.31482625000001,47.6699085775604,,POINT (-122.31482625000001 47.6699085775604),0,573000.0,573000.0
28,Gate3,-122.283415,47.6560167887802,,POINT (-122.283415 47.6560167887802),0,45000.0,45000.0
29,Gate4,-122.31482625000001,47.642125,,POINT (-122.31482625000001 47.642125),0,538000.0,538000.0
