node_id,x_coord,y_coord,meso_link_id,lane_no,activity_type,is_boundary
11647,-122.3157,47.65979,1177,1,,0
11648,-122.3157,47.65985,1178,1,tertiary,0
11649,-122.31579,47.65985,1178,1,,0
11650,-122.31588,47.65985,1178,1,,0
11651,-122.31595,47.65985,1178,1,,0
11652,-122.31558,47.65978,1179,1,tertiary,0
11653,-122.31551,47.65978,1179,1,,0
11654,-122.31551,47.65985,1180,1,tertiary,0
11655,-122.31558,47.65985,1180,1,,0
11656,-122.31548,47.65978,1181,1,tertiary,0
11657,-122.31543,47.65978,1181,1,,0
11658,-122.31542,47.65985,1182,1,tertiary,0
11659,-122.31548,47.65985,1182,1,,0
11660,-122.31531,47.65978,1183,1,tertiary,0
11661,-122.31521,47.65978,1183,1,,0
11662,-122.31512,47.65978,1183,1,,0
11663,-122.31502,47.65978,1183,1,,0
11664,-122.31502,47.65984,1184,1,tertiary,0
11665,-122.31512,47.65984,1184,1,,0
11666,-122.31521,47.65984,1184,1,,0
11667,-122.3153,47.65984,1184,1,,0
11668,-122.32134,47.65944,1185,1,residential,0
11669,-122.32125,47.65944,1185,1,,0
11670,-122.32116,47.65944,1185,1,,0
11671,-122.32106,47.65944,1185,1,,0
11672,-122.32105,47.6595,1186,1,residential,0
11673,-122.32115,47.6595,1186,1,,0
11674,-122.32124,47.6595,1186,1,,0
11675,-122.32134,47.6595,1186,1,,0
11676,-122.32094,47.65944,1187,1,residential,0
11677,-122.32083,47.65944,1187,1,,0
11678,-122.32083,47.6595,1188,1,residential,0
11679,-122.32093,47.6595,1188,1,,0
11680,-122.3208,47.65944,1189,1,residential,0
11681,-122.32076,47.65943,1189,1,,0
11682,-122.32076,47.6595,1190,1,residential,0
11683,-122.3208,47.6595,1190,1,,0
11684,-122.32064,47.65943,1191,1,residential,0
11685,-122.32055,47.65943,1191,1,,0
11686,-122.32045,47.65943,1191,1,,0
11687,-122.32036,47.65943,1191,1,,0
11688,-122.32027,47.65943,1191,1,,0
11689,-122.32017,47.65943,1191,1,,0
11690,-122.32008,47.65943,1191,1,,0
11691,-122.31999,47.65942,1191,1,,0
11692,-122.31999,47.65949,1192,1,residential,0
11693,-122.32008,47.65949,1192,1,,0
11694,-122.32017,47.65949,1192,1,,0
11695,-122.32027,47.65949,1192,1,,0
11696,-122.32036,47.65949,1192,1,,0
11697,-122.32045,47.65949,1192,1,,0
11698,-122.32055,47.65949,1192,1,,0
11699,-122.32064,47.6595,1192,1,,0
11700,-122.31987,47.65942,1193,1,residential,0
