o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
19,D4,23,E3,1.2536759353074112,0.1546059925256443,"LINESTRING (-122.305244 47.6516642,-122.3177506 47.6481432)"
19,D4,24,E4,0.32494433417745355,0.917504832379668,"LINESTRING (-122.305244 47.6516642,-122.3040097 47.6485309)"
19,D4,25,E5,1.193652197768067,0.0,"LINESTRING (-122.305244 47.6516642,-122.2938875 47.6467586)"
19,D4,26,Gate1,3.977696472826648,15.453047000417097,"LINESTRING (-122.305244 47.6516642,-122.3462375 47.6560168)"
19,D4,27,Gate2,1.9884377518346892,521.2320617919634,"LINESTRING (-122.305244 47.6516642,-122.3148263 47.6699086)"
19,D4,28,Gate3,2.1477439827779583,40.07834210783424,"LINESTRING (-122.305244 47.6516642,-122.283415 47.6560168)"
19,D4,29,Gate4,1.3046336962619651,536.84243827386,"LINESTRING (-122.305244 47.6516642,-122.3148263 47.642125)"
20,D5,1,A1,3.7146501231558053,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3347924 47.6645809)"
20,D5,2,A2,2.9306399982389006,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3257881 47.6647182)"
20,D5,3,A3,2.0724564158607284,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3148683 47.6648797)"
20,D5,4,A4,1.530286123876949,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3048193 47.6651586)"
20,D5,5,A5,1.4577563440886934,0.0,"LINESTRING (-122.2989995 47.6504055,-122.2943942 47.6647943)"
20,D5,6,B1,3.5653216590795602,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3345209 47.6605811)"
20,D5,7,B2,2.7417512290198003,0.0,"LINESTRING (-122.2989995 47.6504055,-122.325519 47.6606093)"
20,D5,8,B3,1.841178824526305,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3151817 47.660517)"
20,D5,9,B4,1.1216422947640523,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3047029 47.6605345)"
20,D5,10,B5,1.1509446329603232,0.0,"LINESTRING (-122.2989995 47.6504055,-122.2935066 47.6609936)"
20,D5,11,C1,3.5218331578179143,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3350968 47.6558086)"
20,D5,12,C2,2.597106911821149,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3253243 47.6560149)"
20,D5,13,C3,1.6235967400125875,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3148916 47.6559348)"
20,D5,14,C4,0.7766603153032561,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3048201 47.6559651)"
20,D5,15,C5,0.8472705539655105,0.0,"LINESTRING (-122.2989995 47.6504055,-122.2934898 47.6572427)"
20,D5,16,D1,3.5030055551185573,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3352917 47.6513437)"
20,D5,17,D2,2.4733156415106583,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3246096 47.6514846)"
20,D5,18,D3,1.4368332574475307,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3138341 47.6516996)"
20,D5,19,D4,0.6146530105108216,0.0,"LINESTRING (-122.2989995 47.6504055,-122.305244 47.6516642)"
20,D5,20,D5,0.0,0.0,"LINESTRING (-122.2989995 47.6504055,-122.2989995 47.6504055)"
20,D5,21,E1,3.5797711062359854,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3359803 47.6474355)"
20,D5,22,E2,2.306657010727061,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3228057 47.6482276)"
20,D5,23,E3,1.8224194644476106,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3177506 47.6481432)"
20,D5,24,E4,0.5161631334780155,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3040097 47.6485309)"
20,D5,25,E5,0.6059087306484995,0.0,"LINESTRING (-122.2989995 47.6504055,-122.2938875 47.6467586)"
20,D5,26,Gate1,4.5900421235964215,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3462375 47.6560168)"
20,D5,27,Gate2,2.423528869640948,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3148263 47.6699086)"
20,D5,28,Gate3,1.5982514226800835,0.0,"LINESTRING (-122.2989995 47.6504055,-122.283415 47.6560168)"
20,D5,29,Gate4,1.723508762192418,0.0,"LINESTRING (-122.2989995 47.6504055,-122.3148263 47.642125)"
21,E1,1,A1,1.6583232244718074,0.3084054418442232,"LINESTRING (-122.3359803 47.6474355,-122.3347924 47.6645809)"
21,E1,2,A2,1.9359994631564845,0.36430494136164904,"LINESTRING (-122.3359803 47.6474355,-122.3257881 47.6647182)"
21,E1,3,A3,2.642520336388162,0.593387729239541,"LINESTRING (-122.3359803 47.6474355,-122.3148683 47.6648797)"
21,E1,4,A4,3.4590214062205633,0.612877545904329,"LINESTRING (-122.3359803 47.6474355,-122.3048193 47.6651586)"
21,E1,5,A5,4.348196105570676,0.4815748011097398,"LINESTRING (-122.3359803 47.6474355,-122.2943942 47.6647943)"
21,E1,6,B1,1.2762080591878038,0.8033930221561848,"LINESTRING (-122.3359803 47.6474355,-122.3345209 47.6605811)"
21,E1,7,B2,1.6231751168136126,0.711179971500554,"LINESTRING (-122.3359803 47.6474355,-122.325519 47.6606093)"
21,E1,8,B3,2.3708081305230024,1.169264105422273,"LINESTRING (-122.3359803 47.6474355,-122.3151817 47.660517)"
21,E1,9,B4,3.2719344307356617,0.7777030861159248,"LINESTRING (-122.3359803 47.6474355,-122.3047029 47.6605345)"
21,E1,10,B5,4.302025924036966,0.9745829683657582,"LINESTRING (-122.3359803 47.6474355,-122.2935066 47.6609936)"
21,E1,11,C1,0.8124039366458793,0.607873302949913,"LINESTRING (-122.3359803 47.6474355,-122.3350968 47.6558086)"
21,E1,12,C2,1.3200378495827207,0.7179296638621305,"LINESTRING (-122.3359803 47.6474355,-122.3253243 47.6560149)"
21,E1,13,C3,2.1938921341028914,0.7328160295588209,"LINESTRING (-122.3359803 47.6474355,-122.3148916 47.6559348)"
